CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Hearing - routine exam,$0 (1 per year),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Hearing aids,$499 - $999 (2 per year),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,OTC allowance,$100 per visit,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Meals,$0,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Premium,$0.00,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Max out-of-pocket,"$4,900",CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,PCP,$0,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Specialist,$20,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Telehealth,$0 - $20,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Chiropractic,$15,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Podiatry,$15,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Other professional,$10,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Inpatient hospital,$400 days 1-6 / $0 days 7-90,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Inpatient psychiatric,$400 days 1-5 / $0 days 6-90,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Skilled nursing facility,$0 days 1-20 / $218 days 21-100,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Home health,$60,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Hospice,$0,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Outpatient hospital,$0 - $25,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Outpatient surgery (ASC),$0 - $300,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Outpatient surgery (hospital),$0 - $60,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Observation services,$0 - $5,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Emergency room,$130,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Urgent care,$50,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Ambulance (ground),$0 - $400,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Ambulance (air),$400,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Transportation,$0 - $350,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Lab services,$300,CMS,,,
